CREATION_ANALYSIS_KEY,CREATION_DATE,COMPONENT,EFFORT,TYPE,TAGS,SEVERITY,maintainability_Rating,security_Rating,RELIABILITY_RATING,DEVELOPMENT_COST,MESSAGE
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/AggregateNode.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/CallNodeBuilder.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/GenerateNode.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Replace all tab characters in this file by sequences of white-spaces.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/MatchNode.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Replace all tab characters in this file by sequences of white-spaces.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/MountNode.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/PreparableMatchNode.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Replace all tab characters in this file by sequences of white-spaces.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/SelectNode.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Replace all tab characters in this file by sequences of white-spaces.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/SerializeNode.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Replace all tab characters in this file by sequences of white-spaces.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/SerializeNode.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/components/treeprocessor/sitemap/TransformNode.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Replace all tab characters in this file by sequences of white-spaces.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/ImageDirectoryGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Anti-singleton
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Anti-singleton
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/StreamGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.2,1,0.1,0.05,3046680,Complex class
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/StreamGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/StreamGenerator.java,17,CODE_SMELL,brain-overload,0.4,1,0.1,0.05,3046680,"The Cyclomatic Complexity of this method ""generate"" is 17 which is greater than 10 authorized."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/StreamGenerator.java,10,CODE_SMELL,"cert,error-handling,suspicious",0.6,1,0.1,0.05,3046680,Either log or rethrow this exception.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-core/src/main/java/org/apache/cocoon/generation/XPathDirectoryGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Anti-singleton
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/caching/Cache.java,10,CODE_SMELL,bad-practice,0.2,1,0.1,0.05,3046680,Move constants to a class or enum.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/CascadingIOException.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,"Rename this field ""m_throwable"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/CascadingIOException.java,20,CODE_SMELL,performance,0.4,1,0.1,0.05,3046680,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder""."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/CascadingIOException.java,5,CODE_SMELL,bad-practice,0.4,1,0.1,0.05,3046680,"Add the ""@Override"" annotation above this method signature"
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/CascadingIOException.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/components/pipeline/ProcessingPipeline.java,10,CODE_SMELL,bad-practice,0.2,1,0.1,0.05,3046680,Move constants to a class or enum.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/ConnectionResetException.java,5,CODE_SMELL,"convention,pitfall",0.4,1,0.1,0.05,3046680,"Rename this class to remove ""Exception"" or correct its inheritance."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/Constants.java,10,CODE_SMELL,obsolete,0.1,1,0.1,0.05,3046680,Do not forget to remove this deprecated code someday.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/Constants.java,5,CODE_SMELL,"bad-practice,obsolete",0.4,1,0.1,0.05,3046680,Add the missing @Deprecated annotation.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/Constants.java,30,CODE_SMELL,design,0.4,1,0.1,0.05,3046680,Add a private constructor to hide the implicit public one.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/environment/Cookie.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Replace all tab characters in this file by sequences of white-spaces.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/environment/ObjectModelHelper.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Reorder the modifiers to comply with the Java Language Specification.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/environment/Request.java,10,CODE_SMELL,bad-practice,0.2,1,0.1,0.05,3046680,Move constants to a class or enum.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/generation/Generator.java,10,CODE_SMELL,bad-practice,0.2,1,0.1,0.05,3046680,Move constants to a class or enum.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/ProcessingException.java,5,CODE_SMELL,"convention,pitfall",0.4,1,0.1,0.05,3046680,"Rename this class to remove ""Exception"" or correct its inheritance."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/reading/Reader.java,10,CODE_SMELL,bad-practice,0.2,1,0.1,0.05,3046680,Move constants to a class or enum.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/ResourceNotFoundException.java,5,CODE_SMELL,"convention,pitfall",0.4,1,0.1,0.05,3046680,"Rename this class to remove ""Exception"" or correct its inheritance."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/serialization/Serializer.java,10,CODE_SMELL,bad-practice,0.2,1,0.1,0.05,3046680,Move constants to a class or enum.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-api/src/main/java/org/apache/cocoon/transformation/Transformer.java,10,CODE_SMELL,bad-practice,0.2,1,0.1,0.05,3046680,Move constants to a class or enum.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.2,1,0.1,0.05,3046680,Complex class
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,8,CODE_SMELL,design,0.2,1,0.1,0.05,3046680,"Define a constant instead of duplicating this literal ""reverse"" 3 times."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,16,CODE_SMELL,design,0.2,1,0.1,0.05,3046680,"Define a constant instead of duplicating this literal ""CDATA"" 7 times."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,5,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Move the array designator from the variable to the type.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,5,CODE_SMELL,clumsy,0.4,1,0.1,0.05,3046680,Call the static method Long.compare(...) instead of instantiating a temporary object to perform this to string conversion.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,10,CODE_SMELL,bad-practice,0.4,1,0.1,0.05,3046680,"Move the ""directory"" string literal on the left side of this string comparison."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,10,CODE_SMELL,brain-overload,0.4,1,0.1,0.05,3046680,Refactor this code to not nest more than 3 if/for/while/switch/try statements.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,10,CODE_SMELL,bad-practice,0.4,1,0.1,0.05,3046680,"Move the ""name"" string literal on the left side of this string comparison."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,20,CODE_SMELL,performance,0.4,1,0.1,0.05,3046680,"Replace the synchronized class ""Stack"" by an unsynchronized one such as ""Deque""."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,10,CODE_SMELL,bad-practice,0.4,1,0.1,0.05,3046680,"Move the ""lastmodified"" string literal on the left side of this string comparison."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,10,CODE_SMELL,bad-practice,0.4,1,0.1,0.05,3046680,"Move the ""size"" string literal on the left side of this string comparison."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/DirectoryGenerator.java,12,CODE_SMELL,brain-overload,0.4,1,0.1,0.05,3046680,"The Cyclomatic Complexity of this method ""addPath"" is 12 which is greater than 10 authorized."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/ImageDirectoryGenerator.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Reorder the modifiers to comply with the Java Language Specification.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/ImageDirectoryGenerator.java,8,CODE_SMELL,design,0.2,1,0.1,0.05,3046680,"Define a constant instead of duplicating this literal ""CDATA"" 3 times."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/ImageDirectoryGenerator.java,1,CODE_SMELL,style,0.2,1,0.1,0.05,3046680,"At most one statement is allowed per line, but 2 statements were found on this line."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/ImageDirectoryGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Reorder the modifiers to comply with the Java Language Specification.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Make this final field static too.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,"Rename this field ""LINK_CONTENT_TYPE_DEFAULT"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,14,CODE_SMELL,design,0.2,1,0.1,0.05,3046680,"Define a constant instead of duplicating this literal ""CDATA"" 6 times."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,5,CODE_SMELL,clumsy,0.2,1,0.1,0.05,3046680,Directly append the argument of String.valueOf().
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.2,1,0.1,0.05,3046680,Complex class
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,10,CODE_SMELL,brain-overload,0.4,1,0.1,0.05,3046680,Refactor this code to not nest more than 3 if/for/while/switch/try statements.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.4,1,0.1,0.05,3046680,Long method
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,13,CODE_SMELL,brain-overload,0.4,1,0.1,0.05,3046680,"The Cyclomatic Complexity of this method ""configure"" is 13 which is greater than 10 authorized."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,5,CODE_SMELL,suspicious,0.4,1,0.1,0.05,3046680,Either remove or fill this block of code.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,5,CODE_SMELL,"misra,unused",0.4,1,0.1,0.05,3046680,This block of commented-out lines of code should be removed.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,13,CODE_SMELL,brain-overload,0.4,1,0.1,0.05,3046680,"The Cyclomatic Complexity of this method ""getLinksFromConnection"" is 13 which is greater than 10 authorized."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,70,CODE_SMELL,pitfall,0.4,1,0.1,0.05,3046680,6 duplicated blocks of code must be removed.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,2,CODE_SMELL,clumsy,0.4,1,0.1,0.05,3046680,Use isEmpty() to check whether the collection is empty or not.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,10,CODE_SMELL,"cert,error-handling,suspicious",0.6,1,0.1,0.05,3046680,Either log or rethrow this exception.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/LinkStatusGenerator.java,10,BUG,suspicious,0.6,1,0.1,0.05,3046680,"Either override Object.equals(Object), or rename the method to prevent any confusion."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,2,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,14,CODE_SMELL,design,0.2,1,0.1,0.05,3046680,"Define a constant instead of duplicating this literal ""forbidden"" 6 times."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,1,CODE_SMELL,style,0.2,1,0.1,0.05,3046680,"At most one statement is allowed per line, but 2 statements were found on this line."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,5,CODE_SMELL,convention,0.2,1,0.1,0.05,3046680,Move the array designator from the variable to the type.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,90,CODE_SMELL,"antipattern,code-smell",0.2,1,0.1,0.05,3046680,Complex class
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,2,CODE_SMELL,clumsy,0.2,1,0.1,0.05,3046680,"Immediately return this expression instead of assigning it to the temporary variable ""frames""."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,14,CODE_SMELL,design,0.2,1,0.1,0.05,3046680,"Define a constant instead of duplicating this literal ""free format"" 6 times."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,1,CODE_SMELL,style,0.2,1,0.1,0.05,3046680,"At most one statement is allowed per line, but 3 statements were found on this line."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,26,CODE_SMELL,design,0.2,1,0.1,0.05,3046680,"Define a constant instead of duplicating this literal ""CDATA"" 12 times."
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,5,CODE_SMELL,suspicious,0.4,1,0.1,0.05,3046680,Either remove or fill this block of code.
AV4laW8sG0XxMwG_V0EC,09/03/2003 00:11,org.apache:cocoon:core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/MP3DirectoryGenerator.java,13,CODE_SMELL,brain-overload,0.4,1,0.1,0.05,3046680,"The Cyclomatic Complexity of this method ""setID3TagAttributes"" is 13 which is greater than 10 authorized."
